risposta,classe
"inizia la lezione.",1
"avvia la lezione",1
"cominciamo la lezione.",1
"voglio iniziare la lezione.",1
"inizia il corso.",1
"iniziamo la lezione",1
"avvia con il corso.",1
"voglio iniziare il corso.",1
"comincia la lezione.",1
"avvia la lezione",1
"voglio cominciare la lezione",1
"iniziamo",1
"avvia la lezione",1
"ripeti la lezione per favore",2
"puoi ripetere",2
"ripeti",2
"ripeti la lezione ripetimela",2
"ripeti un'altra volta",2
"voglio risentire la lezione",2
"ripeti di nuovo",2
"vorrei risentire la lezione",2
"non ho capito ripeti",2
"ripeti la lezione",2
"vai avanti",3
"avanti",3
"prosegui",3
"continua",3
"prosegui con la lezione",3
"continua la lezione",3
"andiamo avanti",3
"prosegui la lezione",3
"prosegui il corso",3
"continua con il corso",3
"voglio finire la lezione",80
"basta per oggi",80
"basta così",80
"abbiamo finito",80
"finisci la lezione",80
"esci dalla lezione",80
"chiudi la lezione",80
"termina la lezione",80
"basta con la lezione",80
"termina il corso", 80
"termina",80
